PERMIT NUMBER,ACCOUNT NUMBER,SITE NUMBER,LEGAL NAME,DOING BUSINESS AS NAME,ISSUED DATE,EXPIRATION DATE,PAYMENT DATE,ADDRESS,ADDRESS NUMBER START,ADDRESS NUMBER,STREET DIRECTION,STREET,STREET TYPE,CITY,STATE,ZIP CODE,WARD,PRECINCT,WARD PRECINCT,POLICE DISTRICT,LATITUDE,LONGITUDE,LOCATION
1132720,383968,1,Dog House Grill,The Dog House Grill,05/25/2018,12/01/2018,04/16/2018,1534 N WELLS ST,1534,1534,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.910184428,-87.634826983,"(41.91018442836669, -87.63482698262082)"
1132404,392439,1,HOME RUN INN PIZZA-SHEFFIELD INC.,HOME RUN INN,05/25/2018,12/01/2018,04/11/2018,3211-3215 N SHEFFIELD AVE,3211,3211-3215,N,SHEFFIELD,AVE,CHICAGO,IL,60657,44,20,44-20,19,41.940290407,-87.653971454,"(41.940290406767545, -87.65397145383486)"
1131048,60960,1,"PHO XE LUA, INC.",PHO XE LUA,05/25/2018,12/01/2018,05/25/2018,1021 W ARGYLE ST,1021,1021,W,ARGYLE,ST,CHICAGO,IL,60640,48,40,48-40,20,41.973189054,-87.655837121,"(41.973189054288056, -87.65583712062242)"
1133189,220779,1,"GARCIA-GOMEZ, INC.",BUONA TERRA RISTORANTE,05/24/2018,12/01/2018,05/23/2018,2535 N CALIFORNIA AVE,2535,2535,N,CALIFORNIA,AVE,CHICAGO,IL,,1,12,1-12,14,41.927613868,-87.697346597,"(41.927613867517806, -87.69734659725884)"
1132929,216058,1,"LA FONDA RESTAURANT, INC.",LA FONDA LATINO GRILL,05/24/2018,12/01/2018,05/08/2018,5350 N BROADWAY,5350,5350,N,BROADWAY,,CHICAGO,IL,60640,48,45,48-45,20,41.979650804,-87.66010597,"(41.979650803956524, -87.66010597022675)"
1132637,371175,1,SINJED LLC,ELLIE'S,05/24/2018,12/01/2018,04/19/2018,10701 S HALE AVE,10701,10701,S,HALE,AVE,CHICAGO,IL,60643,19,43,19-43,22,41.699203051,-87.668844561,"(41.69920305146927, -87.66884456094053)"
1131505,206313,1,PENINSULA CHICAGO LLC,"PENINSULA CHICAGO, LLC",05/24/2018,12/01/2018,04/04/2018,108 E SUPERIOR ST,108,108,E,SUPERIOR,ST,CHICAGO,IL,60611,42,48,42-48,18,41.895839638,-87.624988141,"(41.89583963820686, -87.62498814131581)"
1133041,404671,1,BANGERS & LACE ROSCOE VILLAGE LLC,KITE STRING CANTINA,05/23/2018,12/01/2018,05/23/2018,1851 W ADDISON ST,1851,1851,W,ADDISON,ST,CHICAGO,IL,60613,47,47,47-47,19,41.946788878,-87.675947031,"(41.94678887802327, -87.6759470310188)"
1132931,364505,1,BRYN MAWR RESTAURANT CORP.,NOOKIES CAFE & RESTAURANT,05/23/2018,12/01/2018,05/09/2018,1100 W BRYN MAWR AVE,1100,1100,W,BRYN MAWR,AVE,CHICAGO,IL,60660,48,15,48-15,20,41.983766484,-87.658111624,"(41.98376648449397, -87.65811162403335)"
1132073,377021,1,OHIO ACQUISITION LLC,COCO PAZZO CAFE,05/23/2018,12/01/2018,04/02/2018,212 E OHIO ST,212,212,E,OHIO,ST,CHICAGO,IL,60611,42,41,42-41,18,41.892678418,-87.622118882,"(41.892678418310624, -87.62211888192721)"
1133110,394235,1,"HQ ENTERPRISES, LLC",HQ HOWARD  QUINTERO,05/22/2018,12/01/2018,05/22/2018,4114 N KEDZIE AVE,4114,4114,N,KEDZIE,AVE,CHICAGO,,60618,33,17,33-17,17,41.956193397,-87.708230325,"(41.956193396983295, -87.70823032541526)"
1133059,322099,1,1721 W. DIVISION CORP.,BLACK BULL / BORDEL,05/22/2018,12/01/2018,05/22/2018,1721 W DIVISION ST,1721,1721,W,DIVISION,ST,CHICAGO,IL,60622,1,47,1-47,12,41.903180986,-87.670876338,"(41.903180986329666, -87.67087633768513)"
1131955,15529,2,"CHICAGO DRINKING CO., INC.",A. J. HUDSON' S PUBLIC HOUSE,05/22/2018,12/01/2018,03/15/2018,3801-3805 N ASHLAND AVE,3801,3801-3805,N,ASHLAND,AVE,CHICAGO,IL,60613,47,44,47-44,19,41.950735169,-87.668812901,"(41.950735168842144, -87.66881290118066)"
1132979,102,4,"SHORTY O'TOOLE'S PUB, INC.",RENALDI's PIZZA,05/21/2018,12/01/2018,05/07/2018,2827-2831 N BROADWAY,2827,2827-2831,N,BROADWAY,,CHICAGO,IL,60657,44,41,44-41,19,41.933535705,-87.644542927,"(41.933535705306504, -87.64454292702328)"
1132627,340340,1,"GEMINI BISTRO GROUP, LLC",GEMINI BISTRO,05/21/2018,12/01/2018,04/26/2018,2075 N LINCOLN AVE,2075,2075,N,LINCOLN,AVE,CHICAGO,IL,60614,43,17,43-17,18,41.920057537,-87.641019344,"(41.92005753669409, -87.64101934425842)"
1133151,405020,1,"INTERWEST CHICAGO HOTEL, LLC",CLARIDGE HOUSE,05/07/2018,12/01/2018,05/07/2018,1244 N DEARBORN ST,1244,1244,N,DEARBORN,ST,CHICAGO,,60610,2,36,2-36,18,41.905215314,-87.630169952,"(41.90521531399701, -87.63016995157534)"
1133109,275310,1,"TAB Restaurants, Inc.",VIAGGIO,05/18/2018,12/01/2018,05/11/2018,1330 W MADISON ST,1330,1330,W,MADISON,ST,CHICAGO,IL,60607,27,7,27-7,12,41.88166488,-87.660857052,"(41.881664879645825, -87.66085705159813)"
1132934,4162,1,BRETT'S KITCHEN INC.,BRETT'S KITCHEN INC.,05/18/2018,12/01/2018,05/18/2018,233 W SUPERIOR ST,233,233,W,SUPERIOR,ST,CHICAGO,IL,60610,42,68,42-68,18,41.895463439,-87.635599493,"(41.89546343940486, -87.63559949263859)"
1133154,419632,1,WELLS POOL STATION LLC,DROPSHOP COFFE AND SNACK BAR,05/17/2018,12/01/2018,05/07/2018,312 W CHESTNUT ST,312,312,W,CHESTNUT,ST,CHICAGO,,60610,27,28,27-28,18,41.898283405,-87.636364901,"(41.89828340503371, -87.63636490061735)"
1132919,11041,1,PHILIPPOS ALEXANDROU,MR. SUBMARINE,05/17/2018,12/01/2018,05/16/2018,37 N WELLS ST,37,37,N,WELLS,ST,CHICAGO,IL,60606,42,9,42-9,1,41.882898749,-87.633711104,"(41.88289874937368, -87.6337111044736)"
1132781,405933,1,"SAVANNA RESTAURANT, INC.",SAVANNA RESTAURANT,05/17/2018,12/01/2018,04/23/2018,4111 N LINCOLN AVE,4111,4111,N,LINCOLN,AVE,CHICAGO,IL,60618,47,35,47-35,19,41.956349892,-87.680129135,"(41.95634989191906, -87.68012913494145)"
1132779,32376,1,CITY NEWS INC,CITY NEWS,05/17/2018,12/01/2018,05/17/2018,4018 N CICERO AVE,4018,4018,N,CICERO,AVE,CHICAGO,IL,60641,45,31,45-31,16,41.953997999,-87.74746352,"(41.953997998664995, -87.74746352030205)"
1132739,412629,1,"JUST OFF MAPLE, LLC",REAL GOOD JUICE CO.,05/17/2018,12/01/2018,04/23/2018,3548 N SOUTHPORT AVE,3548,3548,N,SOUTHPORT,AVE,CHICAGO,IL,60657,44,43,44-43,19,41.946699216,-87.664152637,"(41.946699215722504, -87.6641526374883)"
1132412,313578,1,"THE COFFEE STUDIO, LLC",THE COFFEE STUDIO,05/17/2018,12/01/2018,04/16/2018,5628 N CLARK ST,5628,5628,N,CLARK,ST,CHICAGO,IL,60660,40,33,40-33,20,41.984384825,-87.669099314,"(41.984384824892075, -87.66909931387195)"
1132403,31769,1,736 N CLARK CORP.,25 DEGREES,05/17/2018,12/01/2018,05/09/2018,736 N CLARK ST,736,736,N,CLARK,ST,CHICAGO,IL,60654,2,57,2-57,18,41.895939669,-87.631378661,"(41.89593966860199, -87.63137866092413)"
1132397,248631,4,WANDA COLON,CAFE COLAO,05/17/2018,12/01/2018,05/07/2018,2638 W DIVISION ST,2638,2638,W,DIVISION,ST,CHICAGO,IL,60622,26,58,26-58,14,41.903064338,-87.69352967,"(41.903064337614886, -87.69352967027304)"
1132139,63726,1,OAK GINO'S INC.,GINO'S EAST OF CHICAGO,05/17/2018,12/01/2018,04/04/2018,521 S DEARBORN ST,521,521,S,DEARBORN,ST,CHICAGO,IL,60605,4,49,4-49,1,41.875237557,-87.629077845,"(41.87523755678771, -87.62907784469319)"
1132138,303796,1,"BG EAST, LLC",GINO'S EAST PIZZERIA,05/17/2018,12/01/2018,04/04/2018,160-64 E SUPERIOR ST,160,160-64,E,SUPERIOR,ST,CHICAGO,IL,60611,2,38,2-38,18,41.895862946,-87.62325304,"(41.89586294629618, -87.62325304021789)"
1133152,414832,1,LOBO BRAVOS LLC,LOBO BRAVO,05/16/2018,12/01/2018,05/16/2018,1307 S WABASH AVE,1307,1307,S,WABASH,AVE,CHICAGO,,60605,3,39,3-39,1,41.865517449,-87.625648058,"(41.86551744937986, -87.62564805803324)"
1132965,17823,1,"EL BARCO, INC.",EL BARCO RESTAURANT,05/16/2018,12/01/2018,05/16/2018,1035 N ASHLAND AVE,1035,1035,N,ASHLAND,AVE,CHICAGO,IL,,1,56,1-56,12,41.900640696,-87.667271409,"(41.90064069569674, -87.66727140888604)"
1132958,379073,2,"PASTA AL GUSTO, INC.",PASTA AL GUSTO,05/16/2018,12/01/2018,05/04/2018,3737 N SOUTHPORT AVE,3737,3737,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.949966595,-87.663950075,"(41.94996659511004, -87.66395007499032)"
1132935,332998,1,"TOCCO PIZZA E ARTE, INC.",TOCCO RESTAURANT,05/16/2018,12/01/2018,05/16/2018,1266 N MILWAUKEE AVE,1266,1266,N,MILWAUKEE,AVE,CHICAGO,IL,60642,1,5,1-5,14,41.904689828,-87.668781274,"(41.90468982848127, -87.66878127418673)"
1132932,305425,1,"BACCHANAL, INC.",BROADWAY CELLARS,05/16/2018,12/01/2018,05/16/2018,5900 N BROADWAY,5900,5900,N,BROADWAY,,CHICAGO,IL,60660,48,48,48-48,20,41.989107718,-87.660387275,"(41.98910771764999, -87.660387275496)"
1133083,422580,1,FIRST SIP CAFE INC,FIRST SIP CAFE,05/15/2018,12/01/2018,05/15/2018,1057 W ARGYLE ST,1057,1057,W,ARGYLE,ST,CHICAGO,,60640,48,35,48-35,20,41.973170643,-87.657215079,"(41.97317064347998, -87.65721507934661)"
1132986,53580,1,"P. N. L., INC.",The Grafton Pub & Grill,05/15/2018,12/01/2018,05/14/2018,4530 N LINCOLN AVE,4530,4530,N,LINCOLN,AVE,CHICAGO,IL,60625,47,42,47-42,19,41.963953232,-87.685663325,"(41.96395323202934, -87.68566332514946)"
1132125,302944,3,WEST ROSCOE STREET LLC,LUSH WINE & SPIRITS,05/14/2018,12/01/2018,03/28/2018,2232-2234 W ROSCOE ST,2232,2232-2234,W,ROSCOE,ST,CHICAGO,IL,60618,32,25,32-25,19,41.943251259,-87.684576057,"(41.943251259237634, -87.68457605707084)"
1131539,290302,1,3811 SOUTHPORT LLC,WRIGLEYVILLE DAIRY QUEEN,05/14/2018,12/01/2018,03/22/2018,3811 N SOUTHPORT AVE,3811,3811,N,SOUTHPORT,AVE,CHICAGO,IL,60613,44,25,44-25,19,41.951112529,-87.663982089,"(41.95111252904561, -87.66398208917064)"
1133038,389649,1,"TWO HEARTED QUEEN, LLC",TWO HEARTED QUEEN,04/20/2018,12/01/2018,04/20/2018,1201 W ROSCOE ST,1201,1201,W,ROSCOE,ST,CHICAGO,IL,60657,44,51,44-51,19,41.943381838,-87.659190636,"(41.94338183750669, -87.6591906356085)"
1132925,3348,1,DON JUAN # 1 INC,DON JUAN,04/20/2018,12/01/2018,04/20/2018,6730 N NORTHWEST HWY,6730,6730,N,NORTHWEST,HWY,CHICAGO,IL,60631,41,5,41-5,16,42.003354235,-87.817290362,"(42.003354235019835, -87.8172903624749)"
1132777,380684,1,ELEVEN ONE C. LLC,OSTERIA DEL PASTAIO,04/20/2018,12/01/2018,04/20/2018,111 E CHESTNUT ST,111,111,E,CHESTNUT,ST,CHICAGO,IL,60611,42,48,42-48,18,41.898261619,-87.625164692,"(41.89826161908875, -87.62516469194003)"
1132732,333407,1,"412 N. CLARK, INC.",HAVANA GRILL,04/20/2018,12/01/2018,04/20/2018,412 N CLARK ST,412,412,N,CLARK,ST,CHICAGO,IL,60654,42,46,42-46,18,41.889687277,-87.631219098,"(41.88968727651981, -87.6312190981202)"
1132715,277997,1,"DOWNTOWN ENTERTAINMENT, LLC",HQ BEERCADE II,04/20/2018,12/01/2018,04/20/2018,213 W INSTITUTE PL,213,213,W,INSTITUTE,PL,CHICAGO,IL,60610,27,28,27-28,18,41.897303739,-87.634804168,"(41.8973037387733, -87.63480416772768)"
1132697,376612,1,"353 NORTH CLARK, LLC.",BARRIO / BODEGA,04/20/2018,12/01/2018,04/20/2018,65 W KINZIE ST,65,65,W,KINZIE,ST,CHICAGO,IL,60654,42,55,42-55,18,41.889109128,-87.630540629,"(41.8891091281777, -87.6305406286297)"
1132467,386900,1,"TANK NOODLES,INC.",TANK NOODLE PHO XE TANG,04/20/2018,12/01/2018,04/18/2018,4953-4955 N BROADWAY,4953,4953-4955,N,BROADWAY,,CHICAGO,IL,60640,48,40,48-40,20,41.973091079,-87.659632197,"(41.973091079257635, -87.65963219685456)"
1132422,379627,1,RAFAEL CASTRO,ESENCIA URBAN KITCHEN,04/20/2018,12/01/2018,04/20/2018,3351 N BROADWAY,3351,3351,N,BROADWAY,,CHICAGO,IL,60657,44,15,44-15,19,41.943340055,-87.64466387,"(41.94334005547684, -87.64466387044959)"
1132371,345226,2,"EXACTA, LLC",PUBLIC HOUSE,04/20/2018,12/01/2018,04/06/2018,400 N STATE ST,400,400,N,STATE,ST,CHICAGO,IL,60654,42,55,42-55,18,41.889318711,-87.628152668,"(41.88931871105875, -87.62815266789968)"
1131691,404059,1,180 N MICHIGAN AVE HOSPITALITY MANAGEMENT LLC,BROKEN ENGLISH TACO PUB,04/20/2018,12/01/2018,04/03/2018,75 E LAKE ST,75,75,E,LAKE,ST,CHICAGO,IL,60601,42,9,42-9,1,41.885624255,-87.625296495,"(41.88562425462461, -87.6252964950646)"
1131067,405131,1,"CHASE WOLCOTT, LLC",INCOME TAX,04/20/2018,12/01/2018,03/08/2018,5957-5959 N BROADWAY,5957,5957-5959,N,BROADWAY,,CHICAGO,IL,60660,48,31,48-31,24,41.990696472,-87.660140731,"(41.990696471643766, -87.66014073065755)"
1132572,412351,1,"FOUR STAR RESTAURANT GROUP, LLC",CHICK-FIL-A LOYOLA WATER TOWER,04/19/2018,12/01/2018,04/19/2018,30 E CHICAGO AVE,30,30,E,CHICAGO,AVE,CHICAGO,IL,60611,42,32,42-32,18,41.896803948,-87.626920284,"(41.896803947893225, -87.6269202837321)"
1132483,390040,1,"Craft Pizza Serio, LLC",Craft Pizza,04/19/2018,12/01/2018,04/18/2018,1252 N DAMEN AVE,1252,1252,N,DAMEN,AVE,CHICAGO,IL,60622,1,17,1-17,14,41.904884204,-87.677451481,"(41.90488420426394, -87.67745148114881)"
1132481,206660,1,RASMOS INC.,RASMOS,04/19/2018,12/01/2018,04/19/2018,4788 N ELSTON AVE,4788,4788,N,ELSTON,AVE,CHICAGO,IL,,39,10,39-10,17,41.967870328,-87.740027217,"(41.9678703283459, -87.74002721681858)"
1132373,306210,1,"CHENIER & THOMPSON, INC.","TABLE, DONKEY & STICK",04/19/2018,12/01/2018,04/19/2018,2728 W ARMITAGE AVE,2728,2728,W,ARMITAGE,AVE,CHICAGO,IL,60647,1,13,1-13,14,41.917612945,-87.695914866,"(41.91761294464501, -87.69591486630621)"
1132367,377344,1,"ARTISTS SNACK SHOP, INC.",ARTISTS CAFE,04/19/2018,12/01/2018,04/19/2018,412 S MICHIGAN AVE,412,412,S,MICHIGAN,AVE,CHICAGO,IL,60605,42,49,42-49,1,41.87666158,-87.624428052,"(41.87666157989593, -87.62442805181986)"
1132364,379594,1,806 WEST RANDOLPH LLC,LONE WOLF,04/19/2018,12/01/2018,04/18/2018,806 W RANDOLPH ST,806,806,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884511813,-87.647760519,"(41.884511813325, -87.64776051854923)"
1132321,210972,1,5530 GRILL INC.,BEL-AMI RESTAURANT,04/19/2018,12/01/2018,04/19/2018,5530 N LINCOLN AVE,5530,5530,N,LINCOLN,AVE,CHICAGO,IL,60625,40,1,40-1,20,41.98205255,-87.693541211,"(41.98205254958613, -87.69354121130398)"
1132289,82023,1,"KINZIE CHOPHOUSE, L.L.C.",KINZIE ST. CHOP HOUSE,04/19/2018,12/01/2018,04/19/2018,400 N WELLS ST,400,400,N,WELLS,ST,CHICAGO,IL,60610,42,14,42-14,18,41.889198022,-87.634157297,"(41.889198021770845, -87.63415729667513)"
1132258,266211,1,"CHICAGO STONEHENGE, INC.",SWIG,04/19/2018,12/01/2018,04/18/2018,1469 N MILWAUKEE AVE,1469,1469,N,MILWAUKEE,AVE,CHICAGO,IL,60622,1,21,1-21,14,41.908689503,-87.674604558,"(41.90868950334511, -87.67460455772613)"
1132206,406104,1,"VENICCI PIZZA, INC.",VENICCI PIZZA,04/19/2018,12/01/2018,04/19/2018,3343 N HALSTED ST,3343,3343,N,HALSTED,ST,CHICAGO,IL,60657,44,33,44-33,19,41.943069789,-87.649216609,"(41.94306978943972, -87.64921660918642)"
1131988,408156,1,JOEY G'S MAC AND CHEESE,JOEY'S G'S MAC AND CHEESE,04/19/2018,12/01/2018,04/04/2018,2351 W AUGUSTA BLVD,2351,2351,W,AUGUSTA,BLVD,CHICAGO,IL,60622,1,26,1-26,12,41.899276249,-87.686507172,"(41.899276249465515, -87.68650717185837)"
1131590,388050,1,"BAR SIENA, LLC",BAR SIENA,04/19/2018,12/01/2018,04/04/2018,832 W RANDOLPH ST,832,832,W,RANDOLPH,ST,CHICAGO,IL,60607,27,1,27-1,12,41.884496686,-87.648665508,"(41.884496686293886, -87.64866550824529)"
1132550,5350,3,"VIA VENETO, INC.",VIA VENETO,04/18/2018,12/01/2018,04/18/2018,6340 N LINCOLN AVE,6340,6340,N,LINCOLN,AVE,CHICAGO,IL,60659,50,25,50-25,17,41.996470123,-87.717503813,"(41.996470122670104, -87.71750381265241)"
1132462,229993,8,"KIMPTON HOTEL &  RESTAURANT GROUP, LLC",HOTEL MONACO,04/18/2018,12/01/2018,04/12/2018,225 N WABASH AVE,225,225,N,WABASH,AVE,CHICAGO,IL,60601,42,9,42-9,1,41.886424333,-87.626168282,"(41.88642433256405, -87.62616828170881)"
1132445,360152,1,"THE SCOUT W.H. CHICAGO, INC.",THE SCOUT,04/18/2018,12/01/2018,04/18/2018,1301 S WABASH AVE,1301,1301,S,WABASH,AVE,CHICAGO,IL,60605,3,40,3-40,1,41.865676543,-87.625649842,"(41.865676543319346, -87.62564984178259)"
1132324,345040,1,"KARIM & ZUBE, INC.",SUBWAY,04/18/2018,12/01/2018,04/18/2018,511 N MCCLURG CT,511,511,N,MCCLURG,CT,CHICAGO,IL,60611,42,31,42-31,18,41.891451415,-87.617534555,"(41.891451414638176, -87.61753455501773)"
1132256,282836,1,VOLO RESTAURANT LLC,VOLO RESTAURANT,04/18/2018,12/01/2018,04/18/2018,2008 W ROSCOE ST,2008,2008,W,ROSCOE,ST,CHICAGO,IL,60618,32,21,32-21,19,41.943322631,-87.678849097,"(41.94332263059663, -87.67884909733532)"
1132255,21010,1,"KITSCH'N ON ROSCOE, INC.",KITSCH'N ON ROSCOE,04/18/2018,12/01/2018,04/18/2018,2005 W ROSCOE ST,2005,2005,W,ROSCOE,ST,CHICAGO,IL,60618,32,15,32-15,19,41.943104564,-87.678678852,"(41.94310456354472, -87.67867885196078)"
1132251,296406,1,"THIRD RAIL TAVERN, INC.",THIRD RAIL TAVERN,04/18/2018,12/01/2018,04/18/2018,1133 W MADISON ST,1133,1133,W,MADISON,ST,CHICAGO,IL,60607,25,16,25-16,12,41.881534355,-87.655650217,"(41.88153435491253, -87.65565021660242)"
1131894,340860,5,"CAFE EL TAPATIO, INC.",CAFE EL TAPATIO,04/18/2018,12/01/2018,04/18/2018,3400-3402 N ASHLAND AVE,3400,3400-3402,N,ASHLAND,AVE,CHICAGO,IL,60657,47,6,47-6,19,41.943432313,-87.668912756,"(41.943432313397565, -87.66891275635102)"
1131469,64261,1,"KMFA, LTD.",SANTORINI,04/18/2018,12/01/2018,04/04/2018,138 S HALSTED ST,138,138,S,HALSTED,ST,CHICAGO,IL,60661,27,58,27-58,12,41.879277914,-87.647429296,"(41.87927791388022, -87.64742929608974)"
1131465,268763,1,ITALO-JUDAIC DINING COMPANY,WELLS ON WELLS,04/18/2018,12/01/2018,04/18/2018,1617 N WELLS ST,1617,1617,N,WELLS,ST,CHICAGO,IL,60614,2,4,2-4,18,41.911678788,-87.634579799,"(41.91167878815612, -87.63457979852183)"
1131464,86100,14,"KONISAN, INC.",Broken English Taco Pub Old Town,04/18/2018,12/01/2018,04/13/2018,1400 N WELLS ST,1400,1400,N,WELLS,ST,CHICAGO,IL,60610,27,42,27-42,18,41.907738477,-87.634754618,"(41.90773847735842, -87.63475461836646)"
1132741,3474,1,"FIESTA MEXICANA, CORP.",FIESTA MEXICANA CORP,04/17/2018,12/01/2018,04/16/2018,4806 N BROADWAY,4806,4806,N,BROADWAY,,CHICAGO,IL,60640,46,40,46-40,20,41.969248782,-87.659824259,"(41.96924878168732, -87.65982425851124)"
1132689,379820,1,UNITE GRILL LLC,BAR BISCAY,04/17/2018,12/01/2018,04/16/2018,1450 W CHICAGO AVE,1450,1450,W,CHICAGO,AVE,CHICAGO,IL,60642,1,32,1-32,12,41.896227645,-87.664435179,"(41.89622764512234, -87.6644351787337)"
1132686,381522,1,"21 EAST BELLEVUE MANAGEMENT, LLC",NICO,04/17/2018,12/01/2018,04/16/2018,1015 N RUSH ST,1015,1015,N,RUSH,ST,CHICAGO,IL,60611,42,24,42-24,18,41.901198041,-87.627564062,"(41.90119804129134, -87.6275640618535)"
1132633,246865,1,"THE CARACOL GROUP, INC.",CROWN LIQUORS,04/17/2018,12/01/2018,04/16/2018,2821 N MILWAUKEE AVE,2821,2821,N,MILWAUKEE,AVE,CHICAGO,IL,60618,35,11,35-11,14,41.93250194,-87.712799955,"(41.932501940013964, -87.71279995528784)"
1132629,216013,1,"VERNON PARK TAP L.L.C.,",VERNON PARK TAP,04/17/2018,12/01/2018,04/17/2018,1073 W VERNON PARK PL,1073,1073,W,VERNON PARK,PL,CHICAGO,IL,60607,25,25,25-25,12,41.872904375,-87.654033036,"(41.872904374521134, -87.65403303613473)"
1132592,422130,2,"THE VEGGIE GRILL, INC.",THE VEGGIE GRILL,04/17/2018,12/01/2018,04/17/2018,614 W DIVERSEY PKWY,614,614,W,DIVERSEY,PKWY,CHICAGO,,60614,44,18,44-18,19,41.932916878,-87.644571639,"(41.93291687750861, -87.64457163885304)"
1132539,6149,1,DINKEL'S BAKERY,DINKEL'S BAKERY INC,04/17/2018,12/01/2018,04/17/2018,3329 N LINCOLN AVE,3329,3329,N,LINCOLN,AVE,CHICAGO,IL,60657,47,38,47-38,19,41.942224377,-87.670270135,"(41.94222437714027, -87.67027013525025)"
1132505,3993,2,UZDAWINIS & KOBAYASHI INC,CAFE SELMARIE,04/17/2018,12/01/2018,04/16/2018,4729 N LINCOLN AVE,4729,4729,N,LINCOLN,AVE,CHICAGO,IL,60625,47,33,47-33,19,41.967406598,-87.687616424,"(41.96740659751604, -87.68761642361608)"
1132503,396050,1,"Every Little Crumb, LLC",Scone City,04/17/2018,12/01/2018,04/17/2018,1632 W DIVISION ST,1632,1632,W,DIVISION,ST,CHICAGO,IL,60622,1,5,1-5,14,41.90343424,-87.668854272,"(41.90343424016516, -87.66885427160221)"
1132482,270714,1,5077 KIKO MEAT MARKET INC.,5077 KIKO MEAT MARKET,04/17/2018,12/01/2018,04/17/2018,5077 N LINCOLN AVE,5077,5077,N,LINCOLN,AVE,CHICAGO,IL,60625,40,14,40-14,20,41.973871588,-87.691789838,"(41.97387158789304, -87.69178983828716)"
1132460,10012,1,"BULLISTRON'S, INC.",AUGIE'S,04/17/2018,12/01/2018,04/13/2018,1721 W WRIGHTWOOD AVE,1721,1721,W,WRIGHTWOOD,AVE,CHICAGO,IL,60614,32,20,32-20,19,41.928624995,-87.671614503,"(41.92862499471828, -87.67161450321166)"
1132421,402284,1,NEWA GROUP LLC,CHIYA CHAI CAFE,04/17/2018,12/01/2018,04/17/2018,2770 N MILWAUKEE AVE,2770,2770,N,MILWAUKEE,AVE,CHICAGO,IL,60647,35,28,35-28,14,41.931448844,-87.711547088,"(41.93144884388019, -87.71154708820332)"
1132410,395323,1,"CIBO FOODS, LLC",CAFE L' APPETITO,04/17/2018,12/01/2018,04/13/2018,3332 N BROADWAY,3332,3332,N,BROADWAY,,CHICAGO,IL,60657,44,33,44-33,19,41.942773751,-87.64465928,"(41.94277375075599, -87.64465927963597)"
1132405,355171,1,LILLIE'S Q LLC,LILLIE'S Q,04/17/2018,12/01/2018,04/17/2018,1856 W NORTH AVE,1856,1856,W,NORTH,AVE,CHICAGO,IL,60622,2,35,2-35,14,41.910636135,-87.674876095,"(41.91063613478286, -87.67487609462192)"
1132368,405182,1,SF 55 LLC,SUGAR FACTORY,04/17/2018,12/01/2018,04/17/2018,55 E GRAND AVE,55,55,E,GRAND,AVE,CHICAGO,IL,60611,42,22,42-22,18,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)"
1132352,19277,1,"ONE SIGNATURE, INC.",POPEYES/GOLD COAST DOGS,04/17/2018,12/01/2018,04/17/2018,159 N WABASH AVE,159,159,N,WABASH,AVE,CHICAGO,IL,60601,42,9,42-9,1,41.884781799,-87.626107868,"(41.884781799169296, -87.62610786782005)"
1132348,398635,1,Ryo LLC,RYO SUSHI,04/17/2018,12/01/2018,04/16/2018,62 E MADISON ST,62,62,E,MADISON,ST,CHICAGO,IL,60602,42,9,42-9,1,41.882202372,-87.625599294,"(41.8822023722691, -87.6255992937463)"
1132319,207283,5,"PANERA, LLC",PANERA BREAD #1004,04/17/2018,12/01/2018,04/16/2018,525 S STATE ST,525,525,S,STATE,ST,CHICAGO,IL,60605,4,49,4-49,1,41.875179056,-87.627473789,"(41.875179056057796, -87.6274737894488)"
1132318,207283,12,"PANERA, LLC",Panera Bread,04/17/2018,12/01/2018,04/16/2018,2 N MICHIGAN AVE,2,2,N,MICHIGAN,AVE,CHICAGO,IL,60602,42,9,42-9,1,41.882164167,-87.624514274,"(41.88216416733022, -87.62451427362218)"
1131951,314818,2,KHRG ALLEGRO LLC,HOTEL ALLEGRO,04/17/2018,12/01/2018,03/30/2018,136 N LA SALLE ST,136,136,N,LA SALLE,ST,CHICAGO,IL,60602,42,9,42-9,1,41.884158636,-87.632577198,"(41.88415863562356, -87.63257719833739)"
1131449,258836,1,WHITE LODGING SERVICES CORPORATION,Courtyard By Marriott,04/17/2018,12/01/2018,03/21/2018,165 E ONTARIO ST,165,165,E,ONTARIO,ST,CHICAGO,IL,60611,42,53,42-53,18,41.893251246,-87.622791844,"(41.89325124631192, -87.62279184406287)"
1131392,283535,2,"INDIE, INC.",INDIE CAFE,04/17/2018,12/01/2018,03/19/2018,5951-5953 N BROADWAY,5951,5951-5953,N,BROADWAY,,CHICAGO,IL,60660,48,31,48-31,24,41.99052009,-87.660135907,"(41.990520089587605, -87.6601359073641)"
1131114,255100,7,FLIK INTERNATIONAL CORP.,FLIK INTERNATIONAL CORP.,04/17/2018,12/01/2018,04/17/2018,3443 N SOUTHPORT AVE,3443,3443,N,SOUTHPORT,AVE,CHICAGO,IL,60657,44,11,44-11,19,41.944695439,-87.663805429,"(41.944695438605734, -87.66380542868968)"
